CUPS;;ES0021000005204736CV

Tarifa;;3.0A
Potencia Contratada (kWh);;P1;15,001
Potencia Contratada (kWh);;P2;15,001
Potencia Contratada (kWh);;P3;15,001
Potencia Contratada (kWh);;P4;0
Potencia Contratada (kWh);;P5;0
Potencia Contratada (kWh);;P6;0
Tension;;3X400/230
Fecha ultima lectura;;07/10/2020

Lecturas de activa(kWh):
Periodo;;Activa P1;Activa P2;Activa P3;Activa P4;Activa P5;Activa P6
06/12/2018-07/01/2019;;7,39;11,64;2,87;2,79;2,85;0,88
06/11/2018-06/12/2018;;4,22;11,28;2,86;2,85;1,48;0,78
04/10/2018-06/11/2018;;8,98;10,5;1,78;3,21;2,94;0,76
04/09/2018-04/10/2018;;8,38;8,26;0,8;0,98;3,49;0,73
06/08/2018-04/09/2018;;8,28;7,84;0,82;2,83;3,76;0,82
05/07/2018-06/08/2018;;8,93;7,44;0,92;2,9;3,89;0,87
05/06/2018-05/07/2018;;7,55;9,28;0,91;2,86;2,97;0,81
07/05/2018-05/06/2018;;4,64;4,87;0,88;2,58;1,37;0,78
04/04/2018-07/05/2018;;9,22;9,37;0,97;1,53;7,32;0,97
05/03/2018-04/04/2018;;10,41;11,58;2,85;2,5;1,26;0,98
09/02/2018-05/03/2018;;15,82;18,28;1,07;0,81;1,53;0,83
09/01/2018-09/02/2018;;9,92;11,01;1,74;1,53;1,37;0,8
09/12/2017-09/01/2018;;10,66;10,84;1,77;1,81;1,73;0,73
08/10/2017-09/12/2017;;8,12;10,69;1,64;3,14;7,97;0,79

Consumo anual estimado(kWh):
Periodo;;Total
P1;;2550
P2;;7825
P3;;738
P4;;156
P5;;457
P6;;274
