Comercializadora,Tarifa,Precio_Potencia_P1,Precio_Potencia_P2,Precio_Potencia_P3,Precio_Potencia_P4,Precio_Potencia_P5,Precio_Potencia_P6,Precio_Energía_P1,Precio_Energía_P2,Precio_Energía_P3,Precio_Energía_P4,Precio_Energía_P5,Precio_Energía_P6,Fecha_Inicio,Fecha_Finalizacion
Sun_Air_One,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.112778,0.112778,0.112778,0.112778,0.112778,0.112778,2020-09-08,0
Sun_Air_One,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.133373,0.133373,0.133373,0.133373,0.133373,0.133373,2020-09-08,0
Sun_Air_One,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.124041,0.124041,0.124041,0.124041,0.124041,0.124041,2020-09-08,0
Sun_Air_One,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.143424,0.143424,0.143424,0.143424,0.143424,0.143424,2020-09-08,0
Sun_Air_One,3.0. A,0.040728885,0.02443733,0.016291555,0.040728885,0.02443733,0.016291555,0.09419799999999999,0.09419799999999999,0.09419799999999999,0.09419799999999999,0.09419799999999999,0.09419799999999999,2020-09-08,0
Sun_Air_One,3.1. A,0.059173468,0.03649068900000001,0.008367731,0.059173468,0.03649068900000001,0.008367731,0.08041000000000001,0.08041000000000001,0.08041000000000001,0.08041000000000001,0.08041000000000001,0.08041000000000001,2020-09-08,0
Sun_Air_One,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.107076,0.107076,0.107076,0.107076,0.107076,0.107076,2020-08-05,2020-09-08 00:00:00
Sun_Air_One,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.127064,0.127064,0.127064,0.127064,0.127064,0.127064,2020-08-05,2020-09-08 00:00:00
Sun_Air_One,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.118232,0.118232,0.118232,0.118232,0.118232,0.118232,2020-08-05,2020-09-08 00:00:00
Sun_Air_One,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.137015,0.137015,0.137015,0.137015,0.137015,0.137015,2020-08-05,2020-09-08 00:00:00
Sun_Air_One,3.0. A,0.040728885,0.02443733,0.016291555,0.040728885,0.02443733,0.016291555,0.087065,0.087065,0.087065,0.087065,0.087065,0.087065,2020-08-05,2020-09-08 00:00:00
Sun_Air_One,3.1. A,0.059173468,0.03649068900000001,0.008367731,0.059173468,0.03649068900000001,0.008367731,0.073881,0.073881,0.073881,0.073881,0.073881,0.073881,2020-08-05,2020-09-08 00:00:00
Audax,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.111278,0.111278,0.111278,0.111278,0.111278,0.111278,2020-11-17,0
Audax,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.131873,0.131873,0.131873,0.131873,0.131873,0.131873,2020-11-17,0
Audax,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.122541,0.122541,0.122541,0.122541,0.122541,0.122541,2020-11-17,0
Audax,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.141924,0.141924,0.141924,0.141924,0.141924,0.141924,2020-11-17,0
Audax,3.0. A,0.040728885,0.02443733,0.016291555,0.040728885,0.02443733,0.016291555,0.092538,0.092538,0.092538,0.092538,0.092538,0.092538,2020-11-17,0
Audax,3.1. A,0.059173468,0.03649068900000001,0.008367731,0.059173468,0.03649068900000001,0.008367731,0.07874,0.07874,0.07874,0.07874,0.07874,0.07874,2020-11-17,0
Audax,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.111278,0.111278,0.111278,0.111278,0.111278,0.111278,2020-08-05,2020-11-17 00:00:00
Audax,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.131873,0.131873,0.131873,0.131873,0.131873,0.131873,2020-08-05,2020-11-17 00:00:00
Audax,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.122541,0.122541,0.122541,0.122541,0.122541,0.122541,2020-08-05,2020-11-17 00:00:00
Audax,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.141924,0.141924,0.141924,0.141924,0.141924,0.141924,2020-08-05,2020-11-17 00:00:00
Audax,3.0. A,0.040728885,0.02443733,0.016291555,0.040728885,0.02443733,0.016291555,0.092538,0.092538,0.092538,0.092538,0.092538,0.092538,2020-08-05,2020-11-17 00:00:00
Audax,3.1. A,0.059173468,0.03649068900000001,0.008367731,0.059173468,0.03649068900000001,0.008367731,0.07874,0.07874,0.07874,0.07874,0.07874,0.07874,2020-08-05,2020-11-17 00:00:00
Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.10402664545363345,0.10402664545363345,0.10402664545363345,0.10402664545363345,0.10402664545363345,0.10402664545363345,2020-12-01,0
Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.13595466653342458,0.13595466653342458,0.13595466653342458,0.13595466653342458,0.13595466653342458,0.13595466653342458,2020-12-01,0
Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.12965470444556193,0.12965470444556193,0.12965470444556193,0.12965470444556193,0.12965470444556193,0.12965470444556193,2020-12-01,0
Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.1485106665334246,0.1485106665334246,0.1485106665334246,0.1485106665334246,0.1485106665334246,0.1485106665334246,2020-12-01,0
Opcion,3.0. A,0.040728885,0.02443733,0.016291555,0.040728885,0.02443733,0.016291555,0.09421686591531697,0.09421686591531697,0.09421686591531697,0.09421686591531697,0.09421686591531697,0.09421686591531697,2020-12-01,0
Opcion,3.1. A,0.059173468,0.03649068900000001,0.008367731,0.059173468,0.03649068900000001,0.008367731,0.08279569418557697,0.08279569418557697,0.08279569418557697,0.08279569418557697,0.08279569418557697,0.08279569418557697,2020-12-01,0
Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.10137796532247985,0.10137796532247985,0.10137796532247985,0.10137796532247985,0.10137796532247985,0.10137796532247985,2020-11-03,2020-12-01 00:00:00
Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.13321672650790978,0.13321672650790978,0.13321672650790978,0.13321672650790978,0.13321672650790978,0.13321672650790978,2020-11-03,2020-12-01 00:00:00
Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.12699644225698875,0.12699644225698875,0.12699644225698875,0.12699644225698875,0.12699644225698875,0.12699644225698875,2020-11-03,2020-12-01 00:00:00
Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.14577272650790973,0.14577272650790973,0.14577272650790973,0.14577272650790973,0.14577272650790973,0.14577272650790973,2020-11-03,2020-12-01 00:00:00
Opcion,3.0. A,0.040728885,0.02443733,0.016291555,0.040728885,0.02443733,0.016291555,0.09256369860224774,0.09256369860224774,0.09256369860224774,0.09256369860224774,0.09256369860224774,0.09256369860224774,2020-11-03,2020-12-01 00:00:00
Opcion,3.1. A,0.059173468,0.03649068900000001,0.008367731,0.059173468,0.03649068900000001,0.008367731,0.08079862326995307,0.08079862326995307,0.08079862326995307,0.08079862326995307,0.08079862326995307,0.08079862326995307,2020-11-03,2020-12-01 00:00:00
Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.10268860350993708,0.10268860350993708,0.10268860350993708,0.10268860350993708,0.10268860350993708,0.10268860350993708,2020-10-05,2020-11-03 00:00:00
Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.13456989326647933,0.13456989326647933,0.13456989326647933,0.13456989326647933,0.13456989326647933,0.13456989326647933,2020-10-05,2020-11-03 00:00:00
Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.1283095002658151,0.1283095002658151,0.1283095002658151,0.1283095002658151,0.1283095002658151,0.1283095002658151,2020-10-05,2020-11-03 00:00:00
Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.14712589326647935,0.14712589326647935,0.14712589326647935,0.14712589326647935,0.14712589326647935,0.14712589326647935,2020-10-05,2020-11-03 00:00:00
Opcion,3.0. A,0.040728885,0.02443733,0.016291555,0.040728885,0.02443733,0.016291555,0.09394870719022551,0.09394870719022551,0.09394870719022551,0.09394870719022551,0.09394870719022551,0.09394870719022551,2020-10-05,2020-11-03 00:00:00
Opcion,3.1. A,0.059173468,0.03649068900000001,0.008367731,0.059173468,0.03649068900000001,0.008367731,0.08185667309696264,0.08185667309696264,0.08185667309696264,0.08185667309696264,0.08185667309696264,0.08185667309696264,2020-10-05,2020-11-03 00:00:00
